REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
Jun-91,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,0.929,,,,3
Jun-91,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,13.483,,,,3
Jun-91,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,37.421,,,,3
Jul-91,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,179.917,,,,3
Jul-91,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,11.99,,,,3
Jul-91,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,3.151,,,,3
Jul-91,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,0.668,,,,3
Jul-91,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,5.114,,,,3
Jul-91,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,3.057,,,,3
Jul-91,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,42.494,,,,3
Jul-91,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,66.782,,,,3
Jul-91,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,17.688,,,,3
Jul-91,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,3.629,,,,3
Jul-91,Saskatchewan,2016A000247,Units,300,thousands,3,v52300167,11,1.181,,,,3
Jul-91,Alberta,2016A000248,Units,300,thousands,3,v52300168,12,12.878,,,,3
Jul-91,British Columbia,2016A000259,Units,300,thousands,3,v52300169,13,40.963,,,,3
Aug-91,Canada,2016A000011124,Units,300,thousands,3,v52300157,1,177.579,,,,3
Aug-91,Atlantic provinces,2016A00011,Units,300,thousands,3,v52300158,2,14.343,,,,3
Aug-91,Newfoundland and Labrador,2016A000210,Units,300,thousands,3,v52300159,3,3.227,,,,3
Aug-91,Prince Edward Island,2016A000211,Units,300,thousands,3,v52300160,4,0.322,,,,3
Aug-91,Nova Scotia,2016A000212,Units,300,thousands,3,v52300161,5,6.766,,,,3
Aug-91,New Brunswick,2016A000213,Units,300,thousands,3,v52300162,6,4.028,,,,3
Aug-91,Quebec,2016A000224,Units,300,thousands,3,v52300163,7,46.468,,,,3
Aug-91,Ontario,2016A000235,Units,300,thousands,3,v52300164,8,67.146,,,,3
Aug-91,Prairie provinces,2016A00014,Units,300,thousands,3,v52300165,9,17.611,,,,3
Aug-91,Manitoba,2016A000246,Units,300,thousands,3,v52300166,10,1.699,,,,3
